,0,1,2,3
24,"[15805.0, 17157.0, 18145.0, 21068.0, 18845.0, 15818.0, 16702.0, 17208.0, 16750.0, 16928.0]","[17092.0, 14137.0, 13677.0, 16195.0, 15587.0, 15674.0, 15425.0, 16160.0, 15041.0, 15445.0]","[16162.0, 14423.0, 15587.0, 15035.0, 13999.0, 15870.0, 16773.0, 16578.0, 17189.0, 16569.0]","[16342.0, 18222.0, 15321.0, 16242.0, 15269.0, 17936.0, 15830.0, 15683.0, 15925.0, 15843.0]"
25,"[19378.0, 16259.0, 17658.0, 16503.0, 17639.0, 17075.0, 14926.0, 13273.0, 17292.0, 17934.0]","[13316.0, 13451.0, 13801.0, 11419.0, 12800.0, 15100.0, 14797.0, 12594.0, 13857.0, 13484.0]","[14625.0, 14411.0, 14586.0, 17508.0, 15240.0, 13585.0, 14272.0, 15237.0, 14049.0, 13022.0]","[15663.0, 15736.0, 16118.0, 14774.0, 15016.0, 14657.0, 16311.0, 15927.0, 16033.0, 16117.0]"
26,"[19409.0, 17868.0, 17236.0, 17552.0, 15987.0, 17788.0, 16321.0, 16619.0, 18501.0, 15474.0]","[14562.0, 15247.0, 14330.0, 12177.0, 14352.0, 15499.0, 13308.0, 15249.0, 13654.0, 13361.0]","[16098.0, 15205.0, 16293.0, 14494.0, 13989.0, 14136.0, 16602.0, 14178.0, 14102.0, 15423.0]","[14795.0, 16322.0, 16716.0, 16511.0, 16792.0, 15487.0, 16448.0, 16632.0, 15797.0, 17320.0]"
27,"[19335.0, 18435.0, 18858.0, 19024.0, 18422.0, 19421.0, 19024.0, 18619.0, 20010.0, 18553.0]","[17445.0, 16905.0, 16882.0, 15858.0, 16584.0, 17739.0, 18890.0, 15460.0, 20345.0, 13944.0]","[13946.0, 17895.0, 17454.0, 18716.0, 15733.0, 18500.0, 15974.0, 19551.0, 18644.0, 15375.0]","[17484.0, 18228.0, 17238.0, 17504.0, 18117.0, 18893.0, 18097.0, 17761.0, 18713.0, 18168.0]"
32,"[17225.0, 16000.0, 15252.0, 19302.0, 16651.0, 16573.0, 15512.0, 16350.0, 14933.0, 16881.0]","[13639.0, 14847.0, 13919.0, 13887.0, 12614.0, 13088.0, 12558.0, 15905.0, 15713.0, 15781.0]","[16121.0, 15709.0, 13501.0, 17194.0, 15925.0, 14941.0, 16113.0, 13165.0, 17369.0, 15146.0]","[16467.0, 17116.0, 18000.0, 15323.0, 15999.0, 16534.0, 16102.0, 15770.0, 15251.0, 17777.0]"
36,"[13228.0, 12985.0, 13281.0, 14913.0, 14336.0, 13064.0, 13605.0, 15478.0, 15902.0, 14459.0]","[12645.0, 12241.0, 14694.0, 13406.0, 12580.0, 13718.0, 11801.0, 0.0, 11925.0, 12072.0]","[12623.0, 13395.0, 14924.0, 13547.0, 11649.0, 12016.0, 12477.0, 12015.0, 12863.0, 12334.0]","[14357.0, 14531.0, 14671.0, 13532.0, 14640.0, 13838.0, 14151.0, 14053.0, 13458.0, 13358.0]"
37,"[10991.0, 12557.0, 12854.0, 11358.0, 10287.0, 14423.0, 12251.0, 13974.0, 12166.0, 12335.0]","[10161.0, 10742.0, 10699.0, 10369.0, 11262.0, 0.0, 11038.0, 13038.0, 11395.0, 8635.0]","[12229.0, 11527.0, 10537.0, 9984.0, 10706.0, 10743.0, 13106.0, 10486.0, 12034.0, 12240.0]","[11223.0, 11143.0, 13688.0, 13213.0, 12124.0, 11991.0, 12300.0, 11611.0, 11830.0, 11574.0]"
38,"[16685.0, 15341.0, 18615.0, 16542.0, 15380.0, 17647.0, 17643.0, 15991.0, 18393.0, 16512.0]","[14452.0, 16839.0, 15756.0, 15159.0, 12886.0, 13864.0, 16077.0, 15207.0, 16391.0, 15407.0]","[16044.0, 14848.0, 16646.0, 13916.0, 15087.0, 16264.0, 15585.0, 14817.0, 15693.0, 13669.0]","[16309.0, 16331.0, 16902.0, 16690.0, 17304.0, 16328.0, 16889.0, 15774.0, 15843.0, 17911.0]"
39,"[17679.0, 18447.0, 16773.0, 22514.0, 17698.0, 20278.0, 17091.0, 19864.0, 19471.0, 16138.0]","[14386.0, 17373.0, 16738.0, 14167.0, 18324.0, 13851.0, 15988.0, 13939.0, 17003.0, 15775.0]","[15848.0, 15867.0, 15456.0, 15339.0, 16077.0, 17830.0, 18444.0, 14971.0, 19047.0, 17950.0]","[19375.0, 17751.0, 17708.0, 18478.0, 18746.0, 18409.0, 18983.0, 18091.0, 18546.0, 17705.0]"
41,"[0.0, 10219.0, 10093.0, 0.0, 11574.0, 0.0, 0.0, 9277.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9434.0, 7155.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5926.0, 0.0, 0.0]","[0.0, 8645.0, 0.0, 0.0, 8583.0, 0.0, 0.0, 10052.0, 0.0, 9386.0]"
42,"[15400.0, 14422.0, 14394.0, 16666.0, 16282.0, 16784.0, 15953.0, 16997.0, 17361.0, 17276.0]","[17252.0, 12604.0, 12912.0, 11983.0, 12320.0, 12637.0, 14220.0, 16199.0, 12135.0, 14760.0]","[14559.0, 14903.0, 14835.0, 15508.0, 15660.0, 15387.0, 14931.0, 14530.0, 15899.0, 15871.0]","[16022.0, 17109.0, 15741.0, 16455.0, 15526.0, 16792.0, 15739.0, 17680.0, 15276.0, 15043.0]"
