,0,1,2,3
134,"[14418.0, 14166.0, 14815.0, 15056.0, 15158.0, 13950.0, 14303.0, 14867.0, 13554.0, 14557.0]","[11326.0, 9928.0, 10921.0, 0.0, 0.0, 15671.0, 13840.0, 12453.0, 0.0, 13849.0]","[12243.0, 13486.0, 16158.0, 13564.0, 14351.0, 14539.0, 12347.0, 10684.0, 16101.0, 15092.0]","[14686.0, 13969.0, 12241.0, 12937.0, 14697.0, 14518.0, 13287.0, 13149.0, 14147.0, 14762.0]"
135,"[10099.0, 10306.0, 0.0, 0.0, 8528.0, 0.0, 0.0, 0.0, 9507.0, 11254.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9485.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8882.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9445.0, 0.0, 0.0, 10677.0]"
136,"[13490.0, 13486.0, 13232.0, 12806.0, 13084.0, 12577.0, 11699.0, 15830.0, 11690.0, 12437.0]","[12761.0, 13026.0, 11945.0, 0.0, 0.0, 11582.0, 8961.0, 10529.0, 12997.0, 12679.0]","[13555.0, 13609.0, 11931.0, 13352.0, 0.0, 12652.0, 12236.0, 11460.0, 11217.0, 13287.0]","[13568.0, 12777.0, 13515.0, 0.0, 13980.0, 13345.0, 12435.0, 13066.0, 12670.0, 12917.0]"
138,"[20120.0, 21468.0, 19696.0, 23926.0, 22158.0, 22559.0, 17198.0, 19451.0, 20993.0, 21717.0]","[19271.0, 18409.0, 18203.0, 16332.0, 14309.0, 16250.0, 17041.0, 15400.0, 14436.0, 15922.0]","[20686.0, 22403.0, 19610.0, 16512.0, 17473.0, 23418.0, 21515.0, 19972.0, 17887.0, 19247.0]","[19770.0, 21197.0, 20735.0, 17760.0, 20663.0, 16690.0, 19040.0, 21600.0, 18863.0, 20967.0]"
139,"[14163.0, 15544.0, 14099.0, 15975.0, 17914.0, 15879.0, 14596.0, 15293.0, 15816.0, 16082.0]","[16032.0, 11226.0, 14403.0, 15259.0, 14267.0, 11379.0, 13441.0, 13631.0, 12671.0, 16444.0]","[14768.0, 13916.0, 13269.0, 16665.0, 14866.0, 14125.0, 14897.0, 12286.0, 14323.0, 16039.0]","[15325.0, 15053.0, 13561.0, 15370.0, 13915.0, 15914.0, 15543.0, 14229.0, 14338.0, 16035.0]"
14,"[13001.0, 15176.0, 14209.0, 13968.0, 13767.0, 13049.0, 13785.0, 14756.0, 11296.0, 12795.0]","[13908.0, 13072.0, 12954.0, 12190.0, 11838.0, 11736.0, 13182.0, 11267.0, 12843.0, 12056.0]","[13438.0, 11409.0, 13127.0, 13108.0, 11229.0, 11703.0, 12649.0, 11434.0, 12309.0, 12273.0]","[12538.0, 12981.0, 12258.0, 13110.0, 13045.0, 12865.0, 13900.0, 13006.0, 12966.0, 13763.0]"
140,"[13622.0, 11282.0, 10412.0, 14643.0, 0.0, 12585.0, 13069.0, 13080.0, 12881.0, 11431.0]","[10301.0, 0.0, 0.0, 0.0, 0.0, 10721.0, 10690.0, 11805.0, 0.0, 0.0]","[11662.0, 0.0, 0.0, 14651.0, 10150.0, 0.0, 0.0, 13331.0, 8572.0, 10687.0]","[14803.0, 10479.0, 10171.0, 7272.0, 0.0, 12844.0, 0.0, 0.0, 0.0, 0.0]"
141,"[17000.0, 18805.0, 18163.0, 19411.0, 17595.0, 18517.0, 17174.0, 17101.0, 17289.0, 18281.0]","[16115.0, 14857.0, 14744.0, 14602.0, 13051.0, 15292.0, 16172.0, 15065.0, 16535.0, 18397.0]","[15340.0, 14928.0, 15659.0, 16642.0, 15953.0, 15630.0, 18740.0, 15932.0, 16117.0, 15896.0]","[17660.0, 17185.0, 18552.0, 17591.0, 18026.0, 16210.0, 16389.0, 16520.0, 17971.0, 16851.0]"
142,"[19716.0, 18159.0, 20085.0, 22559.0, 19134.0, 18358.0, 19765.0, 22771.0, 19567.0, 19374.0]","[18821.0, 18278.0, 17363.0, 18587.0, 16880.0, 15315.0, 16707.0, 14289.0, 14338.0, 17050.0]","[16577.0, 16716.0, 18269.0, 18143.0, 17049.0, 19278.0, 18903.0, 15450.0, 21600.0, 18741.0]","[18292.0, 19402.0, 19368.0, 18242.0, 19878.0, 19462.0, 18671.0, 18373.0, 17732.0, 19735.0]"
143,"[21104.0, 22393.0, 19485.0, 19176.0, 21668.0, 21504.0, 18475.0, 22510.0, 20718.0, 22421.0]","[17041.0, 21194.0, 23162.0, 19188.0, 17982.0, 18635.0, 18408.0, 20704.0, 19074.0, 15681.0]","[16598.0, 17276.0, 18490.0, 18867.0, 20760.0, 25351.0, 19109.0, 20429.0, 21681.0, 18968.0]","[21196.0, 20175.0, 21694.0, 20131.0, 20582.0, 20056.0, 20105.0, 18522.0, 20112.0, 19636.0]"
